0,[ 0.1292  0.9433  1.3901  1.8084] s
1,[ 0.4998  1.0492  1.4493  1.8597] s
2,[ 0.3104  0.9713  1.3824  1.7944] s
3,[ 0.0226  0.7146  1.1632  1.5375  1.9585] s
4,[ 0.0882  0.7446  1.2111  1.618 ] s
5,[ 0.0137  0.7579  1.2269  1.6253] s
6,[ 0.5059  1.1437  1.5534  1.9799] s
7,[ 0.1291  0.9415  1.3639  1.768 ] s
8,[ 0.3373  1.0253  1.4321  1.8402] s
9,[ 0.6695  1.2413  1.6533] s
10,[ 0.5134  1.1742  1.5871] s
11,[ 0.3898  0.9447  1.3628  1.7741] s
12,[ 0.5431  1.0913  1.5003  1.9239] s
13,[ 0.0225  0.5922  1.0793  1.4696  1.8892] s
14,[ 0.6256  1.158   1.5564  1.9811] s
15,[ 0.1325  0.7331  1.2218  1.6282] s
16,[ 0.5622  1.1255  1.5411  1.967 ] s
17,[ 0.0169  1.0314  1.4727  1.8934] s
18,[ 0.7467  1.2608  1.687 ] s
19,[ 0.3603  0.8723  1.2524  1.6518] s
20,[ 0.1736  0.7773  1.2396  1.6384] s
21,[ 1.1142  1.5319  1.9594] s
22,[ 0.2561  1.1965  1.6218] s
23,[ 1.0682  1.4877  1.9095] s
24,[ 0.1196  0.788   1.246   1.6514] s
25,[ 0.8174  1.3303  1.7527] s
26,[ 0.1857  0.8028  1.2497  1.6608] s
27,[ 0.1382  0.8266  1.3123  1.7352] s
28,[ 0.6672  1.1751  1.575   1.9992] s
29,[ 0.7935  1.256   1.6546] s
30,[ 0.2875  0.8909  1.2935  1.6939] s
31,[ 0.3521  1.1218  1.5439  1.9708] s
32,[ 0.5224  1.0633  1.4681  1.8854] s
33,[ 0.906   1.3594  1.7766] s
34,[ 0.0319  0.748   1.1974  1.595 ] s
35,[ 0.6651  1.2994  1.7202] s
36,[ 0.4639  1.0377  1.4216  1.8343] s
37,[ 0.2602  0.9844  1.4046  1.8168] s
38,[ 0.2951  0.8161  1.269   1.6823] s
39,[ 0.1557  0.9094  1.3737  1.7937] s
40,[ 0.8982  1.3525  1.7627] s
41,[ 0.2996  0.8525  1.2466  1.6305] s
42,[ 0.3518  0.9093  1.3451  1.7613] s
43,[ 0.397   0.9671  1.4081  1.8301] s
44,[ 0.2254  0.8328  1.3122  1.7152] s
45,[ 0.4191  0.9643  1.3727  1.7835] s
46,[ 0.6636  1.2498  1.6741] s
47,[ 0.1143  0.7156  1.177   1.5592  1.9781] s
48,[ 0.4215  0.9649  1.3758  1.78  ] s
49,[ 0.8693  1.3804  1.8073] s
50,[ 0.8649  1.3495  1.77  ] s
51,[ 0.0977  0.7765  1.2626  1.686 ] s
52,[ 0.0237  0.5935  1.0902  1.4792  1.8962] s
53,[ 0.1801  0.7476  1.1737  1.57    1.9955] s
54,[ 1.0497  1.4837  1.9084] s
55,[ 0.0705  0.691   1.1963  1.6159] s
56,[ 0.9728  1.382   1.7908] s
57,[ 0.214   0.8393  1.2857  1.6924] s
58,[ 0.5492  1.0921  1.4995  1.918 ] s
59,[ 0.3946  1.0442  1.4538  1.8667] s
60,[ 0.5778  1.129   1.5181  1.9377] s
61,[ 0.191   0.8293  1.2545  1.648 ] s
62,[ 0.3135  0.8449  1.2589  1.6543] s
63,[ 0.3209  0.8423  1.2633  1.6603] s
64,[ 0.6829  1.1991  1.5952] s
65,[ 1.1479  1.5793] s
66,[ 0.9547  1.4295  1.8561] s
67,[ 0.6697  1.1901  1.5941] s
68,[ 1.0247  1.4719  1.8951] s
69,[ 0.9086  1.3319  1.7336] s
70,[ 0.449   1.0456  1.4542  1.8703] s
71,[ 0.2261  0.8793  1.3234  1.7343] s
72,[ 0.5575  1.1137  1.5309  1.9604] s
73,[ 0.9056  1.3545  1.7673] s
74,[ 0.5223  1.194   1.6262] s
75,[ 0.1953  1.1764  1.589 ] s
76,[ 0.5777  1.1206  1.5226  1.9457] s
77,[ 0.5187  1.0507  1.4323  1.8406] s
78,[ 0.4002  0.9151  1.2908  1.6856] s
79,[ 0.8124  1.3467  1.7636] s
80,[ 0.8458  1.2829  1.6794] s
81,[ 1.0835  1.501   1.9248] s
82,[ 0.6713  1.1823  1.5818] s
83,[ 0.0804  0.9129  1.3642  1.7819] s
84,[ 0.5864  1.1098  1.5028  1.9221] s
85,[ 0.898   1.3492  1.7577] s
86,[ 0.3599  0.8775  1.3087  1.7125] s
87,[ 0.3138  1.0454  1.4796  1.9053] s
88,[ 0.0836  0.9711  1.4506  1.8726] s
89,[ 0.3404  1.1549  1.5881] s
90,[ 0.6532  1.1606  1.5553  1.9781] s
91,[ 0.6036  1.1112  1.5204  1.9436] s
92,[ 0.482   1.0463  1.4653  1.8864] s
93,[ 0.8212  1.2532  1.644 ] s
94,[ 0.9637  1.4872  1.9229] s
95,[    2.1   731.4  1209.8  1619.1] ms
96,[ 1.0429  1.4832  1.9052] s
97,[ 0.7373  1.2584  1.684 ] s
98,[ 1.004   1.4595  1.8832] s
99,[ 0.2022  0.8028  1.2198  1.6142] s
100,[ 0.035   0.6489  1.1567  1.5643  1.9896] s
101,[ 0.5898  1.1582  1.5788] s
102,[ 0.6096  1.1071  1.4966  1.9141] s
103,[ 1.0318  1.4567  1.8744] s
104,[ 0.3774  1.0471  1.4805  1.9013] s
105,[ 1.1099  1.5233  1.9478] s
106,[ 0.6544  1.2249  1.629 ] s
107,[ 0.0645  1.0303  1.4499  1.8665] s
108,[ 0.6168  1.1733  1.5965] s
109,[ 0.0501  0.6848  1.1911  1.598 ] s
110,[ 0.5832  1.1802  1.5909] s
111,[ 0.9099  1.3722  1.7912] s
112,[ 0.5064  1.1462  1.5451  1.9665] s
113,[ 0.5485  1.0549  1.4298  1.8387] s
114,[ 0.0338  0.6429  1.1383  1.5431  1.9681] s
115,[ 0.8206  1.2979  1.7097] s
116,[ 1.1092  1.5425  1.97  ] s
117,[ 0.0075  0.963   1.3963  1.8157] s
118,[ 1.0856  1.5202  1.9462] s
119,[ 0.2478  0.957   1.3701  1.7851] s
120,[ 0.6448  1.1333  1.5101  1.9292] s
121,[ 0.1304  1.0051  1.432   1.8519] s
122,[ 1.1331  1.5447  1.9699] s
123,[ 0.0147  0.7705  1.2427  1.6402] s
124,[ 0.5824  1.1036  1.4894  1.9026] s
125,[ 0.5488  1.0822  1.469   1.8859] s
126,[ 0.7369  1.2555  1.6643] s
127,[ 0.9689  1.4503  1.8794] s
128,[ 0.6573  1.2279  1.6425] s
129,[ 0.5571  1.1485  1.5391  1.9613] s
130,[ 0.541   1.1294  1.5458  1.9728] s
131,[ 1.0439  1.4912  1.9154] s
132,[ 0.6449  1.1594  1.5476  1.967 ] s
133,[ 0.3126  0.8718  1.317   1.7295] s
134,[ 0.6178  1.1104  1.512   1.9374] s
135,[ 0.2037  0.9864  1.4537  1.8777] s
136,[ 0.6496  1.1997  1.6207] s
137,[ 0.7004  1.2475  1.6663] s
138,[ 0.6044  1.1473  1.5356  1.9552] s
139,[ 0.8755  1.3328  1.7393] s
140,[ 0.1218  0.699   1.1643  1.551   1.9727] s
141,[ 0.8458  1.329   1.7438] s
142,[ 0.1264  0.8794  1.3237  1.7357] s
143,[ 0.156   0.8972  1.3567  1.7702] s
144,[ 0.5773  1.0843  1.4614  1.8699] s
145,[ 0.0385  1.1127  1.5405  1.9678] s
146,[ 0.4438  1.0463  1.4423  1.8565] s
147,[ 0.4017  0.986   1.3945  1.8072] s
148,[ 0.4272  0.9594  1.3711  1.7878] s
149,[ 0.1002  0.6274  1.1025  1.4829  1.9032] s
150,[ 0.9452  1.3891  1.8059] s
151,[ 0.6994  1.2269  1.6342] s
152,[ 0.7866  1.2666  1.679 ] s
153,[ 1.0804  1.522   1.9505] s
154,[ 0.346   0.9578  1.3916  1.8147] s
155,[ 0.7541  1.277   1.6861] s
156,[ 0.2746  0.9655  1.3965  1.8155] s
157,[ 0.3557  0.9762  1.4018  1.8201] s
158,[ 0.7828  1.2974  1.7224] s
159,[ 0.4019  1.0023  1.4113  1.8285] s
160,[ 0.4218  1.1553  1.5613  1.9858] s
161,[ 0.9638  1.3872  1.8014] s
162,[ 0.3383  0.9975  1.4365  1.8612] s
163,[ 0.7447  1.2223  1.6154] s
164,[ 1.1221  1.5435  1.9707] s
165,[ 0.6315  1.1482  1.5443  1.9678] s
166,[ 0.1478  1.0354  1.4596  1.8811] s
167,[ 0.4438  1.0455  1.4617  1.8753] s
168,[ 0.6343  1.1401  1.5334  1.9551] s
169,[ 0.6596  1.1765  1.5709  1.9959] s
170,[ 0.5949  1.2221  1.6265] s
171,[ 0.3054  0.969   1.3778  1.788 ] s
172,[ 0.7826  1.2402  1.6307] s
173,[ 1.1507  1.5709  1.9995] s
